,Degree_quantiles_real,Degree_quantiles_higgs,Degree_quantiles_bter,Clustering_quantiles_real,Clustering_quantiles_higgs,Clustering_quantiles_bter,Eccentricity_quantiles_real,Eccentricity_quantiles_higgs,Eccentricity_quantiles_bter
52,8,10,7,0.3333333333333333,0.19047619047619047,0.42424242424242425,10,11,10
53,8,10,7,0.3333333333333333,0.19772403982930298,0.4393939393939394,10,11,10
54,8,11,8,0.3333333333333333,0.2,0.4574712643678161,10,11,10
55,8,11,8,0.34782608695652173,0.20689655172413793,0.47023809523809523,10,11,10
56,9,12,8,0.3606060606060606,0.2147610405323654,0.4838709677419355,10,11,10
57,9,13,8,0.376984126984127,0.2222222222222222,0.5,10,11,10
58,9,13,9,0.38735177865612647,0.23361344537815126,0.5,10,11,10
59,10,14,9,0.3980263157894737,0.24242424242424243,0.5,11,11,10
60,10,15,9,0.4,0.25274725274725274,0.5238095238095238,11,11,10
61,10,15,10,0.41418650793650796,0.26373626373626374,0.5333333333333333,11,11,11
62,11,16,10,0.4268774703557312,0.2727272727272727,0.5494505494505495,11,11,11
63,11,17,10,0.43865546218487395,0.2838709677419355,0.5714285714285714,11,11,11
64,12,17,11,0.45454545454545453,0.2916666666666667,0.5818181818181818,11,11,11
65,12,18,11,0.4666666666666667,0.3,0.6,11,11,11
66,12,19,12,0.47619047619047616,0.31194295900178254,0.6,11,11,11
67,13,20,12,0.4945054945054945,0.32727272727272727,0.6181818181818182,11,11,11
68,13,21,12,0.5,0.3333333333333333,0.6333333333333333,11,11,11
69,14,22,13,0.5,0.3333333333333333,0.6428571428571429,11,11,11
70,15,23,13,0.5164835164835165,0.3333333333333333,0.6571428571428571,11,12,11
71,15,24,14,0.5319396051103368,0.3337138508371385,0.6666666666666666,11,12,11
72,16,25,14,0.5416666666666666,0.35294117647058826,0.6666666666666666,11,12,11
73,17,26,15,0.5606060606060606,0.36674685912857524,0.6666666666666666,11,12,11
74,17,27,16,0.5777777777777777,0.38288288288288286,0.6666666666666666,11,12,11
75,18,29,16,0.6,0.4,0.6666666666666666,11,12,11
76,19,30,17,0.6025641025641025,0.4090909090909091,0.6666666666666666,11,12,11
77,20,32,17,0.6190476190476191,0.4251012145748988,0.6785714285714286,11,12,11
78,20,33,18,0.6444444444444445,0.4404040404040404,0.6842105263157895,11,12,11
79,21,35,19,0.6666666666666666,0.46087743102668477,0.6923076923076923,11,12,11
80,22,37,20,0.6666666666666666,0.47435897435897434,0.6993464052287581,11,12,11
81,23,39,21,0.6666666666666666,0.49523809523809526,0.7,11,12,11
82,25,41,22,0.6794871794871795,0.5,0.7083333333333334,11,12,11
83,26,43,23,0.7,0.5161290322580645,0.7142857142857143,11,12,11
84,27,46,24,0.7272727272727273,0.5333333333333333,0.7142857142857143,11,12,11
85,29,49,26,0.7555555555555555,0.556923076923077,0.7238095238095238,11,12,11
86,30,52,27,0.7857142857142857,0.580952380952381,0.7333333333333333,11,12,11
87,32,56,29,0.8070175438596491,0.6,0.7362637362637363,11,12,11
88,34,60,30,0.8333333333333334,0.6222222222222222,0.75,11,12,12
89,36,65,33,0.8666666666666667,0.6545454545454545,0.7564102564102564,12,12,12
90,39,70,35,0.9166666666666666,0.6666666666666666,0.7692307692307693,12,13,12
91,42,76,38,0.9722222222222222,0.6833333333333333,0.7912087912087912,12,13,12
92,45,83,42,1.0,0.7142857142857143,0.8,12,13,12
93,50,94,46,1.0,0.7543859649122807,0.8095238095238095,12,13,12
94,55,106,51,1.0,0.8,0.8333333333333334,12,13,12
95,61,122,58,1.0,0.855072463768116,0.9,12,13,12
96,69,148,66,1.0,0.9578947368421052,1.0,12,13,12
97,85,190,82,1.0,1.0,1.0,13,14,13
98,114,271,107,1.0,1.0,1.0,13,14,13
99,709,883,363,1.0,1.0,1.0,15,18,15
