,Degree_quantiles_real,Degree_quantiles_higgs,Degree_quantiles_bter,Clustering_quantiles_real,Clustering_quantiles_higgs,Clustering_quantiles_bter,Eccentricity_quantiles_real,Eccentricity_quantiles_higgs,Eccentricity_quantiles_bter
39,4,4,4,0.26666666666666666,0.16666666666666666,0.5,7,6,7
40,4,5,4,0.2816399286987522,0.17051282051282052,0.5182795698924731,7,6,7
41,5,5,4,0.2909090909090909,0.1814935569011023,0.5333333333333333,7,6,8
42,5,5,5,0.3,0.19106791338582677,0.5497076023391813,7,6,8
43,5,5,5,0.3142857142857143,0.2,0.5687830687830688,7,6,8
44,5,6,5,0.33088235294117646,0.20476190476190476,0.5765765765765766,7,6,8
45,5,6,5,0.3333333333333333,0.21635367762128324,0.5868945868945868,7,6,8
46,5,6,5,0.3333333333333333,0.22896379525593008,0.6,7,6,8
47,6,6,5,0.3333333333333333,0.24,0.6,8,6,8
48,6,7,6,0.3333333333333333,0.2533051295610788,0.6025641025641025,8,7,8
49,6,7,6,0.34285714285714286,0.26666666666666666,0.6095238095238096,8,7,8
50,6,7,6,0.35714285714285715,0.2789473684210526,0.6176470588235294,8,7,8
51,6,8,6,0.37433155080213903,0.28923076923076924,0.6212121212121212,8,7,9
52,7,8,6,0.38824383164005805,0.3,0.63,8,7,9
53,7,9,7,0.4,0.3163841807909605,0.6363636363636364,8,7,9
54,7,9,7,0.4,0.3333333333333333,0.6410256410256411,8,7,9
55,7,9,7,0.4166666666666667,0.3333333333333333,0.6444444444444445,8,7,9
56,8,10,7,0.42857142857142855,0.3333333333333333,0.6521739130434783,8,7,9
57,8,10,8,0.4426877470355731,0.3333333333333333,0.6566666666666666,8,8,9
58,8,11,8,0.45714285714285713,0.3333333333333333,0.6631578947368421,8,8,9
59,9,11,8,0.4666666666666667,0.35294117647058826,0.6666666666666666,8,8,9
60,9,12,8,0.47953216374269003,0.37171417993335804,0.6666666666666666,8,8,10
61,9,12,9,0.49473684210526314,0.38461538461538464,0.6666666666666666,8,8,10
62,9,13,9,0.5,0.4,0.6666666666666666,9,8,10
63,10,13,9,0.5,0.4095238095238095,0.6666666666666666,9,8,10
64,10,14,10,0.5126984126984127,0.4264705882352941,0.6666666666666666,9,9,10
65,11,15,10,0.5277389277389277,0.44285714285714284,0.6666666666666666,9,9,10
66,11,15,10,0.5357142857142857,0.46040816326530615,0.6691176470588235,9,9,10
67,12,16,11,0.5523809523809524,0.4725274725274725,0.675,9,9,10
68,12,17,11,0.5686274509803921,0.4888888888888889,0.6789473684210526,9,9,11
69,12,17,12,0.5818181818181818,0.5,0.6833333333333333,9,9,11
70,13,18,12,0.6,0.5,0.6888888888888889,9,9,11
71,13,19,12,0.6007130124777184,0.5166666666666667,0.6916666666666667,9,9,11
72,14,20,13,0.6181818181818182,0.5333333333333333,0.6944444444444444,9,9,11
73,15,21,13,0.638095238095238,0.5473684210526316,0.6993464052287581,9,9,11
74,15,22,14,0.6549707602339181,0.5656565656565656,0.7,9,10,11
75,16,23,14,0.6666666666666666,0.58,0.7028985507246377,9,10,12
76,17,24,15,0.6666666666666666,0.5978835978835979,0.7066666666666667,10,10,12
77,18,25,16,0.6666666666666666,0.6052631578947368,0.7111111111111111,10,10,12
78,18,26,16,0.6785714285714286,0.6210526315789474,0.7142857142857143,10,10,12
79,19,28,17,0.7,0.6388888888888888,0.7142857142857143,10,10,12
80,20,29,17,0.7142857142857143,0.6545454545454545,0.7192982456140351,10,10,12
81,21,31,18,0.7333333333333333,0.6666666666666666,0.725,10,10,13
82,22,32,19,0.759469696969697,0.6666666666666666,0.7307692307692307,10,11,13
83,23,34,20,0.783625730994152,0.6761904761904762,0.7333333333333333,10,11,13
84,24,36,21,0.8,0.695906432748538,0.7416666666666667,10,11,13
85,26,38,22,0.8285714285714286,0.7126050420168067,0.7473684210526316,10,11,14
86,27,41,23,0.8358974358974359,0.7290322580645161,0.75,10,11,14
87,29,44,23,0.8666666666666667,0.7485380116959064,0.7619047619047619,10,11,14
88,30,47,25,0.9047619047619048,0.7647058823529411,0.7777777777777778,11,11,14
89,33,51,26,0.9497267759562842,0.7878787878787878,0.7857142857142857,11,11,15
90,35,55,27,1.0,0.8055555555555556,0.8,11,12,15
91,38,60,29,1.0,0.8333333333333334,0.8,11,12,15
92,40,66,31,1.0,0.8528138528138528,0.8222222222222222,11,12,16
93,44,73,33,1.0,0.8888888888888888,0.8333333333333334,12,12,16
94,49,83,36,1.0,0.9333333333333333,0.9,12,12,17
95,55,96,41,1.0,1.0,1.0,13,12,18
96,62,113,54,1.0,1.0,1.0,13,13,18
97,74,142,69,1.0,1.0,1.0,14,13,20
98,103,200,94,1.0,1.0,1.0,15,13,22
99,626,684,326,1.0,1.0,1.0,19,17,28
